"icon-verkehrsstoerung src","linkintern","linkintern href","tablescraper-selected-row","tablescraper-selected-row 2","tablescraper-selected-row 3","tablescraper-selected-row 4"
"https://www.stadt-koeln.de/images/layout/icons/verkehrskalender/3.gif","Aachener Straße","https://www.stadt-koeln.de/leben-in-koeln/verkehr/verkehrskalender/aachener-strasse-144","von 


 bis ,  von 09:00 bis 15:00 Uhr","13. September 2021","21. September 2021","überbezirklich"
"https://www.stadt-koeln.de/images/layout/icons/verkehrskalender/3.gif","Aachener Straße (Braunsfeld)","https://www.stadt-koeln.de/leben-in-koeln/verkehr/verkehrskalender/aachener-strasse-braunsfeld-8","von 


 bis","25. Februar 2021","6. März 2021","Lindenthal"
"https://www.stadt-koeln.de/images/layout/icons/verkehrskalender/3.gif","Aachener Straße (Braunsfeld)","https://www.stadt-koeln.de/leben-in-koeln/verkehr/verkehrskalender/aachener-strasse-braunsfeld-10","von 


 bis ,  von 09:00 bis 15:00 Uhr","19. Oktober 2020","26. Februar 2021","Lindenthal"
"https://www.stadt-koeln.de/images/layout/icons/verkehrskalender/3.gif","Aachener Straße (Braunsfeld)","https://www.stadt-koeln.de/leben-in-koeln/verkehr/verkehrskalender/aachener-strasse-braunsfeld-11","von 


 bis","18. Januar 2021","23. April 2021","Lindenthal"
"https://www.stadt-koeln.de/images/layout/icons/verkehrskalender/3.gif","Aachener Straße (Braunsfeld)","https://www.stadt-koeln.de/leben-in-koeln/verkehr/verkehrskalender/aachener-strasse-braunsfeld-24","am 


,  von 09:00 bis 15:00 Uhr","10. September 2021","","Lindenthal"
"https://www.stadt-koeln.de/images/layout/icons/verkehrskalender/3.gif","Aachener Straße (Braunsfeld)","https://www.stadt-koeln.de/leben-in-koeln/verkehr/verkehrskalender/aachener-strasse-braunsfeld-22","von 


 bis ,  von 09:00 bis 15:00 Uhr","27. Juni 2021","18. Juli 2021","überbezirklich"
"https://www.stadt-koeln.de/images/layout/icons/verkehrskalender/3.gif","Aachener Straße (Braunsfeld)","https://www.stadt-koeln.de/leben-in-koeln/verkehr/verkehrskalender/aachener-strasse-braunsfeld-17","von 


 bis ,  von 09:00 bis 15:00 Uhr","18. Januar 2021","26. März 2021","Lindenthal"
"https://www.stadt-koeln.de/images/layout/icons/verkehrskalender/3.gif","Aachener Straße (Braunsfeld)","https://www.stadt-koeln.de/leben-in-koeln/verkehr/verkehrskalender/aachener-strasse-braunsfeld-19","von 


 bis","18. März 2021","23. April 2021","Lindenthal"
"https://www.stadt-koeln.de/images/layout/icons/verkehrskalender/3.gif","Aachener Straße (Braunsfeld)","https://www.stadt-koeln.de/leben-in-koeln/verkehr/verkehrskalender/aachener-strasse-braunsfeld-20","am 


,  von 09:00 bis 15:00 Uhr","18. Mai 2021","","Lindenthal"
"https://www.stadt-koeln.de/images/layout/icons/verkehrskalender/3.gif","Aachener Straße (Braunsfeld)","https://www.stadt-koeln.de/leben-in-koeln/verkehr/verkehrskalender/aachener-strasse-braunsfeld-21","am 


,  von 09:00 bis 15:00 Uhr","18. Mai 2021","","Lindenthal"
"https://www.stadt-koeln.de/images/layout/icons/verkehrskalender/3.gif","Aachener Straße (Braunsfeld)","https://www.stadt-koeln.de/leben-in-koeln/verkehr/verkehrskalender/aachener-strasse-braunsfeld-29","am 


,  von 06:00 bis 18:00 Uhr","12. Dezember 2021","","Lindenthal"
"https://www.stadt-koeln.de/images/layout/icons/verkehrskalender/3.gif","Aachener Straße (Braunsfeld)","https://www.stadt-koeln.de/leben-in-koeln/verkehr/verkehrskalender/aachener-strasse-braunsfeld-23","von 


 bis ,  von 09:00 bis 15:00 Uhr","26. Juli 2021","19. August 2021","Lindenthal"
"https://www.stadt-koeln.de/images/layout/icons/verkehrskalender/3.gif","Aachener Straße (Braunsfeld)","https://www.stadt-koeln.de/leben-in-koeln/verkehr/verkehrskalender/aachener-strasse-braunsfeld-25","von 


 bis ,  von 09:00 bis 15:00 Uhr","29. September 2021","13. Oktober 2021","Lindenthal"
"https://www.stadt-koeln.de/images/layout/icons/verkehrskalender/3.gif","Aachener Straße (Braunsfeld)","https://www.stadt-koeln.de/leben-in-koeln/verkehr/verkehrskalender/aachener-strasse-braunsfeld-26","von 


 bis","18. Oktober 2021","19. Oktober 2021","Lindenthal"
"https://www.stadt-koeln.de/images/layout/icons/verkehrskalender/3.gif","Aachener Straße (Braunsfeld)","https://www.stadt-koeln.de/leben-in-koeln/verkehr/verkehrskalender/aachener-strasse-braunsfeld-27","am 


,  von 09:00 bis 15:00 Uhr","27. Oktober 2021","","Lindenthal"
"https://www.stadt-koeln.de/images/layout/icons/verkehrskalender/3.gif","Aachener Straße (Braunsfeld)","https://www.stadt-koeln.de/leben-in-koeln/verkehr/verkehrskalender/aachener-strasse-braunsfeld-30","am 


,  von 09:00 bis 13:00 Uhr","18. November 2021","","Lindenthal"
"https://www.stadt-koeln.de/images/layout/icons/verkehrskalender/3.gif","Aachener Straße (Junkersdorf)","https://www.stadt-koeln.de/leben-in-koeln/verkehr/verkehrskalender/aachener-strasse-junkersdorf-24","von 


 bis","13. September 2021","24. September 2021","Lindenthal"
"https://www.stadt-koeln.de/images/layout/icons/verkehrskalender/3.gif","Aachener Straße (Junkersdorf)","https://www.stadt-koeln.de/leben-in-koeln/verkehr/verkehrskalender/aachener-strasse-junkersdorf-6","von 


 bis","13. Januar 2021","31. Januar 2021","Lindenthal"
"https://www.stadt-koeln.de/images/layout/icons/verkehrskalender/3.gif","Aachener Straße (Junkersdorf)","https://www.stadt-koeln.de/leben-in-koeln/verkehr/verkehrskalender/aachener-strasse-junkersdorf-7","von 


 bis ,  von 09:00 bis 15:00 Uhr","25. Februar 2021","26. Februar 2021","Lindenthal"
"https://www.stadt-koeln.de/images/layout/icons/verkehrskalender/3.gif","Aachener Straße (Junkersdorf)","https://www.stadt-koeln.de/leben-in-koeln/verkehr/verkehrskalender/aachener-strasse-junkersdorf-22","von 


 bis","16. März 2021","30. März 2021","Lindenthal"
"https://www.stadt-koeln.de/images/layout/icons/verkehrskalender/3.gif","Aachener Straße (Junkersdorf)","https://www.stadt-koeln.de/leben-in-koeln/verkehr/verkehrskalender/aachener-strasse-junkersdorf-8","von 


 bis","15. Juni 2021","28. Juli 2021","Lindenthal"
"https://www.stadt-koeln.de/images/layout/icons/verkehrskalender/3.gif","Aachener Straße (Junkersdorf)","https://www.stadt-koeln.de/leben-in-koeln/verkehr/verkehrskalender/aachener-strasse-junkersdorf-23","von 


 bis ,  von 09:00 bis 15:00 Uhr","29. Juni 2021","30. Juni 2021","Lindenthal"
"https://www.stadt-koeln.de/images/layout/icons/verkehrskalender/3.gif","Aachener Straße (Junkersdorf)","https://www.stadt-koeln.de/leben-in-koeln/verkehr/verkehrskalender/aachener-strasse-junkersdorf-25","von 


 bis","14. September 2021","26. November 2021","Lindenthal"
"https://www.stadt-koeln.de/images/layout/icons/verkehrskalender/3.gif","Aachener Straße (Junkersdorf)","https://www.stadt-koeln.de/leben-in-koeln/verkehr/verkehrskalender/aachener-strasse-junkersdorf-26","von 


 bis","25. Oktober 2021","10. November 2021","Lindenthal"
"https://www.stadt-koeln.de/images/layout/icons/verkehrskalender/3.gif","Aachener Straße (Lindenthal)","https://www.stadt-koeln.de/leben-in-koeln/verkehr/verkehrskalender/aachener-strasse-lindenthal-9","am 


,  von 09:00 bis 15:00 Uhr","23. Februar 2021","","Lindenthal"
"https://www.stadt-koeln.de/images/layout/icons/verkehrskalender/3.gif","Aachener Straße (Lindenthal)","https://www.stadt-koeln.de/leben-in-koeln/verkehr/verkehrskalender/aachener-strasse-lindenthal-1","von 


 bis","28. August 2019","28. Februar 2021","Lindenthal"
"https://www.stadt-koeln.de/images/layout/icons/verkehrskalender/3.gif","Aachener Straße (Lindenthal)","https://www.stadt-koeln.de/leben-in-koeln/verkehr/verkehrskalender/aachener-strasse-lindenthal-10","von 


 bis ,  von 09:00 bis 15:00 Uhr","29. März 2021","14. April 2021","Lindenthal"
"https://www.stadt-koeln.de/images/layout/icons/verkehrskalender/3.gif","Aachener Straße (Lindenthal)","https://www.stadt-koeln.de/leben-in-koeln/verkehr/verkehrskalender/aachener-strasse-lindenthal-11","am 


,  von 09:00 bis 15:00 Uhr","16. November 2021","","Lindenthal"
"https://www.stadt-koeln.de/images/layout/icons/verkehrskalender/3.gif","Aachener Straße (Müngersdorf)","https://www.stadt-koeln.de/leben-in-koeln/verkehr/verkehrskalender/aachener-strasse-muengersdorf-7","von 


 bis ,  von 09:00 bis 15:00 Uhr","10. Mai 2021","11. Mai 2021","Lindenthal"
"https://www.stadt-koeln.de/images/layout/icons/verkehrskalender/3.gif","Aachener Straße (Müngersdorf)","https://www.stadt-koeln.de/leben-in-koeln/verkehr/verkehrskalender/aachener-strasse-muengersdorf-8","von 


 bis ,  von 09:00 bis 15:00 Uhr","22. März 2021","26. März 2021","Lindenthal"
"https://www.stadt-koeln.de/images/layout/icons/verkehrskalender/3.gif","Aachener Straße (Müngersdorf)","https://www.stadt-koeln.de/leben-in-koeln/verkehr/verkehrskalender/aachener-strasse-muengersdorf-9","von 


 bis ,  von 09:00 bis 15:00 Uhr","8. September 2021","12. September 2021","Lindenthal"
"https://www.stadt-koeln.de/images/layout/icons/verkehrskalender/2.gif","Aachener Straße (Neustadt/Süd)","https://www.stadt-koeln.de/leben-in-koeln/verkehr/verkehrskalender/aachener-strasse-neustadtsued-2","von 


 bis ,  von 22:00 bis 05:00 Uhr","12. April 2021","2. Mai 2021","Innenstadt"
